locality,openingRate,date,weekOfYear,isDateAfterMarch,country,isRateOverLastYear,cumulativePositiveRate,localityPosition,holidayName
Australia,-3.0,2020-02-18,8,No,Australia,No,-8782.130000000006,2,
Australia,-6.0,2020-02-19,8,No,Australia,No,-8782.130000000006,2,
Australia,-3.0,2020-02-20,8,No,Australia,No,-8782.130000000006,2,
Australia,-1.0,2020-02-21,8,No,Australia,No,-8782.130000000006,2,
Australia,0.0,2020-02-22,8,No,Australia,No,-8782.130000000006,2,
Australia,0.0,2020-02-23,8,No,Australia,No,-8782.130000000006,2,
Australia,0.0,2020-02-24,9,No,Australia,No,-8782.130000000006,2,
Australia,-2.0,2020-02-25,9,No,Australia,No,-8782.130000000006,2,Carnival / Shrove Tuesday
Australia,-2.0,2020-02-26,9,No,Australia,No,-8782.130000000006,2,Ash Wednesday
Australia,-7.0,2020-02-27,9,No,Australia,No,-8782.130000000006,2,
Australia,0.0,2020-02-28,9,No,Australia,No,-8782.130000000006,2,
Australia,-1.0,2020-02-29,9,No,Australia,No,-8782.130000000006,2,
Australia,4.0,2020-03-01,9,No,Australia,No,-8782.130000000006,2,
Australia,-12.0,2020-03-02,10,No,Australia,No,-8782.130000000006,2,
Australia,-6.0,2020-03-03,10,No,Australia,No,-8782.130000000006,2,
Australia,-12.0,2020-03-04,10,No,Australia,No,-8782.130000000006,2,
Australia,-8.0,2020-03-05,10,No,Australia,No,-8782.130000000006,2,
Australia,-6.0,2020-03-06,10,No,Australia,No,-8782.130000000006,2,Foundation Day
Australia,-3.0,2020-03-07,10,No,Australia,No,-8782.130000000006,2,
Australia,-4.0,2020-03-08,10,No,Australia,No,-8782.130000000006,2,
Australia,-10.0,2020-03-09,11,No,Australia,No,-8782.130000000006,2,Eight Hours Day
Australia,-4.0,2020-03-10,11,No,Australia,No,-8782.130000000006,2,Purim
Australia,-10.0,2020-03-11,11,No,Australia,No,-8782.130000000006,2,
Australia,-12.0,2020-03-12,11,No,Australia,No,-8782.130000000006,2,
Australia,-8.0,2020-03-13,11,No,Australia,No,-8782.130000000006,2,
Australia,-11.0,2020-03-14,11,No,Australia,No,-8782.130000000006,2,
Australia,-12.0,2020-03-15,11,No,Australia,No,-8782.130000000006,2,
Australia,-30.0,2020-03-16,12,No,Australia,No,-8782.130000000006,2,Labour Day
Australia,-43.0,2020-03-17,12,No,Australia,No,-8782.130000000006,2,St Patrick's Day
Australia,-50.0,2020-03-18,12,No,Australia,No,-8782.130000000006,2,
Australia,-53.0,2020-03-19,12,No,Australia,No,-8782.130000000006,2,National Close the Gap Day
Australia,-51.67,2020-03-20,12,No,Australia,No,-8782.130000000006,2,March Equinox
Australia,-53.61,2020-03-21,12,No,Australia,No,-8782.130000000006,2,Harmony Day
Australia,-65.53,2020-03-22,12,No,Australia,No,-8782.130000000006,2,Isra and Mi'raj
Australia,-99.82,2020-03-23,13,No,Australia,No,-8782.130000000006,2,
Australia,-100.0,2020-03-24,13,No,Australia,No,-8782.130000000006,2,
Australia,-100.0,2020-03-25,13,No,Australia,No,-8782.130000000006,2,
Australia,-100.0,2020-03-26,13,No,Australia,No,-8782.130000000006,2,
Australia,-100.0,2020-03-27,13,No,Australia,No,-8782.130000000006,2,
Australia,-100.0,2020-03-28,13,No,Australia,No,-8782.130000000006,2,
Australia,-100.0,2020-03-29,13,No,Australia,No,-8782.130000000006,2,
Australia,-100.0,2020-03-30,14,No,Australia,No,-8782.130000000006,2,
Australia,-100.0,2020-03-31,14,No,Australia,No,-8782.130000000006,2,
Australia,-100.0,2020-04-01,14,Yes,Australia,No,-8782.130000000006,2,
Australia,-100.0,2020-04-02,14,Yes,Australia,No,-8782.130000000006,2,
Australia,-100.0,2020-04-03,14,Yes,Australia,No,-8782.130000000006,2,
Australia,-100.0,2020-04-04,14,Yes,Australia,No,-8782.130000000006,2,
Australia,-100.0,2020-04-05,14,Yes,Australia,No,-8782.130000000006,2,Daylight Saving Time ends
Australia,-100.0,2020-04-06,15,Yes,Australia,No,-8782.130000000006,2,Self Determination Day
Australia,-100.0,2020-04-07,15,Yes,Australia,No,-8782.130000000006,2,
Australia,-100.0,2020-04-08,15,Yes,Australia,No,-8782.130000000006,2,
Australia,-100.0,2020-04-09,15,Yes,Australia,No,-8782.130000000006,2,Maundy Thursday
Australia,-100.0,2020-04-10,15,Yes,Australia,No,-8782.130000000006,2,Good Friday
Australia,-100.0,2020-04-11,15,Yes,Australia,No,-8782.130000000006,2,Holy Saturday
Australia,-100.0,2020-04-12,15,Yes,Australia,No,-8782.130000000006,2,Easter Sunday
Australia,-100.0,2020-04-13,16,Yes,Australia,No,-8782.130000000006,2,Easter Monday
