holidayName,typeOfHoliday,details,date,weekOfYear,locality
New Year's Day,Federal Holiday,All States,2020-01-01,1,United States
Epiphany,Christian,All States,2020-01-06,2,United States
Orthodox Christmas Day,Orthodox,All States,2020-01-07,2,United States
Stephen Foster Memorial Day,Observance,All States,2020-01-13,3,United States
Orthodox New Year,Orthodox,All States,2020-01-14,3,United States
Lee-Jackson Day,State holiday,Virginia,2020-01-17,3,Virginia
Robert E. Lee's Birthday,State holiday,Florida,2020-01-19,3,Florida
Confederate Heroes' Day,State holiday,Texas,2020-01-19,3,Texas
Martin Luther King Jr. Day,Federal Holiday,All States,2020-01-20,4,United States
Robert E. Lee's Birthday,State holiday,Alabama,2020-01-20,4,Alabama
Robert E. Lee's Birthday,State holiday,Mississippi,2020-01-20,4,United States
Idaho Human Rights Day,State holiday,Idaho,2020-01-20,4,United States
Civil Rights Day,State holiday,"Arizona, New Hampshire",2020-01-20,4,Arizona
Civil Rights Day,State holiday,"Arizona, New Hampshire",2020-01-20,4,United States
Chinese New Year,Observance,All States,2020-01-25,4,United States
Kansas Day,Observance,All States,2020-01-29,5,United States
National Freedom Day,Observance,All States,2020-02-01,5,United States
First Day of Black History Month,Annual monthly observance,All States,2020-02-01,5,United States
Groundhog Day,Observance,All States,2020-02-02,5,United States
Super Bowl,Sporting event,All States,2020-02-02,5,United States
Rosa Parks Day,Local observance,"California, Missouri",2020-02-04,6,California
Rosa Parks Day,Local observance,"California, Missouri",2020-02-04,6,Missouri
National Wear Red Day,Observance,All States,2020-02-07,6,United States
Tu Bishvat/Tu B'Shevat,Jewish holiday,All States,2020-02-10,7,United States
Lincoln's Birthday,State holiday,"CT, IL, MO, NY",2020-02-12,7,Connecticut
Lincoln's Birthday,State holiday,"CT, IL, MO, NY",2020-02-12,7,Illinois
Lincoln's Birthday,State holiday,"CT, IL, MO, NY",2020-02-12,7,Missouri
Lincoln's Birthday,State holiday,"CT, IL, MO, NY",2020-02-12,7,New York
Lincoln's Birthday,Local observance,Florida,2020-02-12,7,Florida
Valentine's Day,Observance,All States,2020-02-14,7,United States
Statehood Day,Local observance,Arizona,2020-02-14,7,Arizona
Susan B. Anthony's Birthday,Local observance,"CA, FL, NY, WI",2020-02-15,7,California
Susan B. Anthony's Birthday,Local observance,"CA, FL, NY, WI",2020-02-15,7,Florida
Susan B. Anthony's Birthday,Local observance,"CA, FL, NY, WI",2020-02-15,7,New York
Susan B. Anthony's Birthday,Local observance,"CA, FL, NY, WI",2020-02-15,7,Wisconsin
Elizabeth Peratrovich Day,Local observance,Alaska,2020-02-16,7,United States
Presidents' Day,Federal Holiday,All States,2020-02-17,8,United States
Daisy Gatson Bates Day,State holiday,Arkansas,2020-02-17,8,United States
Maha Shivaratri,Hindu Holiday,All States,2020-02-21,8,United States
Shrove Tuesday/Mardi Gras,State holiday,"AL**, FL*, LA, MS*",2020-02-25,9,Alabama
Shrove Tuesday/Mardi Gras,State holiday,"AL**, FL*, LA, MS*",2020-02-25,9,Florida
Shrove Tuesday/Mardi Gras,State holiday,"AL**, FL*, LA, MS*",2020-02-25,9,Louisiana
Shrove Tuesday/Mardi Gras,State holiday,"AL**, FL*, LA, MS*",2020-02-25,9,Mississippi
